Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
1000,691,309,69,42,9999,0,1304,0,3889,5071,4,3,1920,492,1708,1,0,1,73,72,31,0,2,10,0,0,1680,1760,484,1044,0,10,60,50,54,0,5,10,0,0,11,0,0,11586,483,0,212,0,212,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2000,691,309,69,42,9999,0,1314,0,3889,5110,4,3,1920,492,1555,1,0,1,72,72,26,0,0,0,0,0,1680,1760,296,884,0,14,41,36,29,4,10,14,0,0,10,0,0,11586,483,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
3000,691,309,69,42,9999,0,1500,0,3889,7058,4,3,1920,492,1555,1,0,1,72,72,23,0,0,0,0,0,1680,1760,286,881,0,42,69,57,57,23,31,42,0,0,6,0,0,11586,483,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
4001,691,309,69,42,9999,0,1500,0,3889,6735,4,3,1920,492,1555,1,0,1,72,72,23,0,0,0,0,0,1680,1760,286,881,0,42,69,57,57,23,31,42,0,0,6,0,0,11586,483,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
14000,548,328,69,42,9999,0,1347,0,3786,5099,4,3,1920,492,1708,1,0,1,73,72,23,0,2,11,0,0,1680,1760,619,1219,0,14,52,52,50,5,9,14,0,0,15,0,0,11511,501,0,212,0,212,183,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
15000,548,328,69,42,9999,0,1281,0,3890,4983,4,3,1920,492,1555,1,0,1,72,72,23,0,0,0,0,0,1680,1760,650,1283,0,19,44,52,38,9,9,19,0,0,15,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
16000,548,328,69,42,9999,0,1275,0,3890,4959,4,3,1920,492,1555,1,0,1,72,72,21,0,0,0,0,0,1680,1760,309,833,0,20,33,30,26,9,9,20,0,0,9,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
17000,548,328,69,42,9999,0,1500,0,3890,6791,4,3,1920,492,2000,1,0,1,73,72,21,0,0,0,0,0,1680,1760,298,872,0,39,61,47,42,14,31,39,0,0,5,0,0,11511,501,0,212,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
18000,548,328,69,42,9999,0,1500,0,3890,7500,3,2,1920,492,2000,1,0,1,28,72,27,0,2,42,0,0,2192,2288,0,732,0,21,68,61,95,19,21,15,0,0,13,0,0,11511,501,0,212,0,212,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
19000,548,328,69,42,9999,0,1500,0,3890,7500,3,2,1651,456,2000,1,0,1,69,72,39,0,56,11,0,0,2192,2288,3643,1906,0,25,78,71,64,14,10,25,0,0,42,0,0,11511,501,0,212,0,212,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
